Altium Designer Pick and Place Locations
C:\Users\Yan Azeredo\Desktop\SpaceLab\ttc2\hardware\.\outputs\assembly_pick_place\assembly_pick_place.txt

========================================================================================================================
File Design Information:

Date:       15/06/21
Time:       17:22
Revision:   5631c5d8f6b308e4374dc452b84ba77d49daadd6
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                                      
R28        10k                    BottomLayer 0805                           2573.819      2133.858      225      "RES 10K OHM 1/8W 1%  0805"                                                                                      
R11        10k                    BottomLayer 0805                           1032.323      2316.929      180      "RES 10K OHM 1/8W 1%  0805"                                                                                      
CN1        0532610671             TopLayer    PICOBLADE_6PIN_RIGHT_ANGLE     161.417       2747.146      270      "PicoBlade 6 Position Right Angle Connector Header Surface Mount  0.049" (1.25mm)"                               
CN2        0532610671             TopLayer    PICOBLADE_6PIN_RIGHT_ANGLE     161.417       2152.559      270      "PicoBlade 6 Position Right Angle Connector Header Surface Mount  0.049" (1.25mm)"                               
J_V3       0R                     BottomLayer 0805                           2812.381      1853.347      135      "RES 0R OHM 1/8W JUMPER 0805"                                                                                    
U2         MSP430F6659IPZR        TopLayer    LQFP-100                       1051.571      2465.106      45       "CPUXV2 series Microcontroller IC 16-Bit 20MHz 512KB (512K x 8) FLASH 100-LQFP (14x14)"                          
C15        10uF/10V               BottomLayer CC0805_TANTALUM                1282.480      2652.559      225      "CAP Tantalum 10uF 10V 20% 0805"                                                                                 
C2         10pF/100V              TopLayer    CC0805                         774.052       2940.945      180      "CAP CER 10pF 100V 0805"                                                                                         
C7         10uF/10V               TopLayer    CC0805_TANTALUM                616.142       2218.504      135      "CAP Tantalum 10uF 10V 20% 0805"                                                                                 
C4         12pF/50V               TopLayer    CC0805                         662.004       2102.362      45       "CAP CER 12pF 50V 0805"                                                                                          
C5         12pF/50V               TopLayer    CC0805                         716.138       2050.197      45       "CAP CER 12pF 50V 0805"                                                                                          
C11        10uF/10V               TopLayer    CC0805_TANTALUM                1045.276      1971.457      270      "CAP Tantalum 10uF 10V 20% 0805"                                                                                 
Y0         Coaxial_Connectors_90º TopLayer    CONN_MCX_JACK__R/A__50_OHM_SMD 335.827       1520.473      0        "MCX Connector Jack, Female Socket 50Ohm Through Hole, Right Angle Solder"                                       
Y1         Coaxial_Connectors_90º TopLayer    CONN_MCX_JACK__R/A__50_OHM_SMD 1805.512      1520.473      0        "MCX Connector Jack, Female Socket 50Ohm Through Hole, Right Angle Solder"                                       
PC104      TSW-126-07-G-D         TopLayer    PC104_TTC                      3350.787      1742.913      90       "Connector Header Through Hole 52 position 0.100" (2.54mm) - PC104 used in the TTC module"                       
Y5         ECS-.327-12.5-34S-TR   TopLayer    ABS06_0805                     2162.949      2153.543      315      "32.768kHz ±20ppm Crystal 12.5pF 70 kOhm -40°C ~ 125°C"                                                          
Y4         ABM8X-102-32.000MHZ-T  TopLayer    XTAL_ABM8X                     2233.815      2835.630      180      "32MHz ±10ppm Crystal 10pF 60 Ohm -40°C ~ 125°C"                                                                 
